16787256|3499.6|2667.72|941.056|-5232|-4029.02|-487.293
16782837|2738.74|-4704|17216|1920|-6336|17007.9
16794538|-50.9628|831.998|1088|-3904|-704|244.712
16799958|12607.4|13536|16896|-7776|-2176|-8896.15
16782008|999.465|2352|944|-3147.82|-1286.3|-1500.09
16826609|3066.17|2047.65|8054.36|1832.91|879.4|7552
16823530|351.563|128|438.296|-704|-622.376|-58.5252
16787131|2624|2048|7744|2112|1344|7616
16823531|530.999|-54.2901|256.935|-205.001|-499.107|-44.4071
16780841|12805.7|14432|11214.8|809.787|1376|-8896.15
16783861|2976|3936|8880|-176|1888|8128
16790661|3200|3520|6278.24|896|1088|6272
16824652|3127.99|7305.7|7767.56|-109.469|4176.13|4100.35
16783862|4614.86|4177.92|8608|559.663|96|7135.25
16828572|2688|-4704|17155.8|1920|-5216|17007.9
16809202|2688|-4704|17024|1920|-5216|17008
16782353|2570.13|-4423.94|17260.4|1810.76|-5370.43|16869.3
16795613|5535.43|8829.18|7132.4|-5279.14|-26.4172|1981.65
16829965|-767.974|1280|218.357|-1913.83|256|-2581.57
11700|10356.3|-64707.1|13414.6|9136.24|-64793.4|13153.6
3488|11357.4|0|13792|0|-65330.1|0
158038|12450|8820|-1840|12450|8820|-1840
219743|3720.69|11588.5|-1943.03|502|8554|-2807.31
225079|8110.81|12270.1|-1665.38|4280.78|8254.66|-3641.17
239455|8384|12736|-1920|8384|12736|-1920
239456|8092.28|15060|-1907.92|4670.55|12431.8|-2808.44
239457|10574.9|12144.3|-1669.87|8463.37|9088|-2176
239458|9976|8168|-1632|9256|6376|-2048
16793161|21760|-33344|-1728|21760|-33344|-1728
16793164|-2944|-33920|-3136|-2944|-33920|-3136
16793200|-1024|-23872|3968|-1024|-23872|3968
16779269|43275.9|-107.869|13250.8|210.907|-41751.2|-39.9492
16789550|36832|0|13024|36832|0|13024
16779279|32721.8|-32832|13438.5|29776|-36267.3|11008
16779280|30134.5|-37216|12384|29808|-40453.1|12096
16779282|30160|-45312|13496|30160|-45312|13496
16779294|28512|-35320|12208|28512|-35320|12208
16779295|27912|-40376|12696|24656|-40656|12384
16779309|24496|-35072|12736|24496|-35072|12736
16779310|23584|-38040|13496|23584|-38040|13496
16798250|23536.8|-44419.9|12696|23536.8|-44419.9|12696
16779276|31512|-20482.8|12264.1|29017.8|-21920|12104
16779277|31984|-25600|12992|30784|-28624|11864
16779278|32752.1|-29648|13874.9|29376|-32672|11008
16779292|28304|-24792|13608|25256|-27544|11736
