16781116|1536.07|2722.14|8406.44|415.434|1776|7615.3
16782136|4096|4190.09|8544|160|-353.901|5864.52
16801836|2240|2797.76|7648|-800|32|6679.83
16796887|2482.01|3052.52|6852.93|640|-8160|5952
16781118|2347.45|4688|7760|-156.263|1099.91|3363.66
16787748|4032|3712|7857.47|1632|383.999|7616
16817988|2894.06|2535.76|6894.79|2304|1472|6336
16781539|7970.02|1216|1668.78|-1248|-3040|-1744.64
16781739|6336|3776|7764.64|928|-992|6192
16781740|1408|6596.5|8704|-6432|-7042.73|6008.52
16823331|4032|3712|7857.47|1632|383.999|7616
16781741|2019.76|3328|9288.95|-712.002|205.516|7600
16809351|4156.01|3840|8684.05|-231.718|1448.75|6459.87
16783692|2496|2304|7680|1728|1280|7535.63
16823793|2087.46|2065.56|8132.5|2025.82|2064.15|8132.5
16810154|5881.71|4896|8829.35|799.998|-608|7072
16802645|14591.5|3776|8422.2|-192|-1199.67|5448.67
11700|-49661|124105|19349.5|-77553.7|119218|17781
4756|-74525|124569|18570.6|-77812.5|122894|17924.3
4757|-77936.2|124681|18082.1|-78051.6|122886|17841.2
4787|-75217|122872|18226.7|-77720.6|118899|17940.8
4817|-76642.2|118681|18213.4|-77421.5|118251|18126.7
4846|-74811.8|114381|17552.1|-74974.1|114186|17490.8
4750|-49924|124662|26755.8|-51106.6|123212|19245.2
4753|-64614.9|124284|19535.6|-65462.9|122916|18777.9
4781|-50471.3|122620|19504|-50471.3|122620|19504
4782|-56040.7|122071|19264.5|-56040.7|122071|19264.5
4784|-63802|122444|19166.3|-63802|122444|19166.3
16779676|9178.59|12324.7|40.1575|-8544.01|-11484.5|-1698.32
16779616|31464.1|16627.2|-748.913|31464.1|16627.2|-748.913
16779617|29680|13072|-1920|29680|13072|-1920
16779618|25018.8|30791.7|-732.122|25018.8|30791.7|-732.122
16779619|26496|25952|-768|26496|25952|-768
16779621|27940.9|18295|-1706.09|27940.9|18295|-1706.09
16779622|25757|13697.5|-1725.09|25535.6|12389.1|-1872.12
16779625|21648|22224|-1136|21648|22224|-1136
